,authors,title,titlelink,journal,year
0,"L Qu, ND Sheybani, X Luo, J Wang, KE Hawk, AJ Theruvath, S Gatidis, ...",Masked Co-attentional Transformer reconstructs 100x ultra-fast/low-dose whole-body PET from longitudinal images and anatomically guided MRI,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:FPJr55Dyh1AC,arXiv preprint arXiv:2205.04044,2022
1,"ML Russo, A Barry, S Bhide, A Chang, W Hall, M Intven, C Marijnen, ...",Interobserver Variability in Primary Tumor Contouring of Rectal Cancer to dose-escalated Radiotherapy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:YohjEiUPhakC,"STRAHLENTHERAPIE UND ONKOLOGIE 198 (SUPPL 1), S32-S32",2022
2,"J Boldt, C Gani, S Boeke, D Wegener, ML Russo, M Nachbar, D Moennich, ...",Inter-Observer Variability of MR-based Contouring of Rectal Cancer by MTAs compared to Radiation Oncologists,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:rmuvC79q63oC,"STRAHLENTHERAPIE UND ONKOLOGIE 198 (SUPPL 1), S112-S112",2022
3,"L Uder, S Boeke, D Thorwarth, M Nachbar, S Butzer, J Boldt, M Bitzer, ...",Prospective Toxicity and Outcome Analysis after MR-guided stereotactic Radiotherapy (MRgSBRT) of Liver Metastases at 1.5 T MR Linac,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:_axFR9aDTf0C,"STRAHLENTHERAPIE UND ONKOLOGIE 198 (SUPPL 1), S37-S38",2022
4,"L Uder, S Boeke, D Thorwarth, M Nachbar, S Butzer, J Boldt, M Bitzer, ...",1.5 T MR Linac for MR-guided stereotactic Radiotherapy of Patients with HCC: first clinical Results,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:86PQX7AUzd4C,"STRAHLENTHERAPIE UND ONKOLOGIE 198 (SUPPL 1), S134-S134",2022
5,"ML Russo, M Nachbar, S Boeke, D Zips, D Thorwarth, S Gatidis, ...",Prediction of clinical Complete Remission by using functional MR Imaging during Chemoradiation in Rectal Cancer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:PVjk1bu6vJQC,"STRAHLENTHERAPIE UND ONKOLOGIE 198 (SUPPL 1), S58-S58",2022
6,"V Jonas, F Seith, A Estler, K Nikolaou, H Schmidt, S Gatidis, C la Fougère, ...",Impact of Tracer Dose Reduction in 18F-FDG PET on Texture Features: A Phantom and Patient Study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:TIZ-Mc8IlK0C,"Nuklearmedizin-NuclearMedicine 61 (02), P42",2022
7,"S Greulich, S Gatidis, C Gräni, R Blankstein, A Glatthaar, K Mezger, ...",Hybrid cardiac magnetic resonance/fluorodeoxyglucose positron emission tomography to differentiate active from chronic cardiac sarcoidosis,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:BwyfMAYsbu0C,"Cardiovascular Imaging 15 (3), 445-456",2022
8,"T Kustner, J Pan, C Gilliam, H Qi, G Cruz, K Hammernik, T Blu, D Rueckert, ...",Self-supervised motion-corrected image reconstruction network for 4D magnetic resonance imaging of the body trunk,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:ClCfbGk0d_YC,"APSIPA Transactions on Signal and Information Processing 11 (1), e12",2022
9,"F Peisen, A Hänsch, A Hering, AS Brendlin, S Afat, K Nikolaou, S Gatidis, ...",Combination of Whole-Body Baseline CT Radiomics and Clinical Parameters to Predict Response and Survival in a Stage-IV Melanoma Cohort Undergoing Immunotherapy,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:Ri6SYOTghG4C,"Cancers 14 (12), 2992",2022
10,"J Schwenk, A Maurer, N Beziere, F Fiz, F Boschetti, S Geistlich, D Seyfried, ...",Antibody-guided Molecular Imaging of Aspergillus Lung Infections in Leukemia Patients,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:L7CI7m0gUJcC,Journal of Nuclear Medicine,2022
11,"SC Olthof, C Reinert, K Nikolaou, C Pfannenberg, S Gatidis, T Benkert, ...",Detection of lung lesions in breath-hold VIBE and free-breathing Spiral VIBE MRI compared to CT,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:vbGhcppDl1QC,"Insights Into Imaging 12 (1), 1-8",2021
12,"C Gani, ML Russo, S Boeke, D Wegener, S Gatidis, S Butzer, J Boldt, ...",A novel approach for radiotherapy dose escalation in rectal cancer using online MR-guidance and rectal ultrasound gel filling–Rationale and first in human,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:Z5m8FVwuT1cC,"Radiotherapy and Oncology 164, 37-42",2021
13,"DAP Gutmann, S Rospleszcz, W Rathmann, CL Schlett, A Peters, ...",MRI-derived radiomics features of hepatic fat predict metabolic states in individuals without cardiovascular disease,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:hkOj_22Ku90C,"Academic Radiology 28, S1-S10",2021
14,"M Esser, I Tsiflikas, MS Kraus, S Hess, S Gatidis, JF Schaefer",Effectiveness of Chest CT in Children: CT Findings in Relation to the Clinical Question,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:p__nRnzSRKYC,RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden …,2021
15,"M Früh, M Fischer, A Schilling, S Gatidis, T Hepp",Weakly supervised segmentation of tumor lesions in PET-CT hybrid imaging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:4MWp96NkSFoC,"Journal of Medical Imaging 8 (5), 054003",2021
16,"L Baratto, KE Hawk, J Qi, S Gatidis, L Kiru, HE Daldrup-Link",PET/MRI Improves Management of Children with Cancer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:ML0RJ9NH7IQC,"Journal of Nuclear Medicine 62 (10), 1334-1340",2021
17,"U Upadhyay, Y Chen, T Hepp, S Gatidis, Z Akata",Uncertainty-Guided Progressive GANs for Medical Image Translation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:zLWjf1WUPmwC,International Conference on Medical Image Computing and Computer-Assisted …,2021
18,"A DuMont Schütte, J Hetzel, S Gatidis, T Hepp, B Dietz, S Bauer, ...",Overcoming barriers to data sharing with medical image generation: a comprehensive evaluation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:ZfRJV9d4-WMC,"NPJ digital medicine 4 (1), 1-14",2021
19,"M Bitzer, S Spahn, S Babaei, M Horger, S Singer, K Schulze-Osthoff, ...",Targeting extracellular and juxtamembrane FGFR2 mutations in chemotherapy-refractory cholangiocarcinoma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:AvfA0Oy_GE0C,"NPJ precision oncology 5 (1), 1-7",2021
20,"M Weissinger, M Atmanspacher, H Dittmann, S Gatidis, L Zender, ...",Dynamic whole-body F-18-FDG PET/CT in patients with unclear lung tumors-evaluation of multiparametric dynamic imaging in a clinical setting,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:ILKRHgRFtOwC,EUROPEAN JOURNAL OF NUCLEAR MEDICINE AND MOLECULAR IMAGING 48 (SUPPL 1 …,2021
21,"T Hepp, D Blum, K Armanious, B Schoelkopf, D Stern, B Yang, S Gatidis",Uncertainty estimation and explainability in deep learning-based age estimation of the human brain: Results from the German National Cohort MRI study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:URolC5Kub84C,"Computerized Medical Imaging and Graphics 92, 101967",2021
22,"A Hering, F Peisen, T Amaral, S Gatidis, T Eigentler, A Othman, JH Moltz",Whole-Body Soft-Tissue Lesion Tracking and Segmentation in Longitudinal CT Imaging Studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:VLnqNzywnoUC,"Medical Imaging with Deep Learning, 312-326",2021
23,"YRJ Wang, L Baratto, KE Hawk, AJ Theruvath, A Pribnow, AS Thakor, ...",Artificial intelligence enables whole-body positron emission tomography scans with minimal radiation exposure,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:j8SEvjWlNXcC,"European journal of nuclear medicine and molecular imaging 48 (9), 2771-2781",2021
24,"M Weissinger, FA Taran, S Gatidis, S Kommoss, K Nikolaou, S Sahbai, ...",Lymph node staging with a combined protocol of 18F-FDG PET/MRI and sentinel node SPECT/CT: a prospective study in patients with FIGO I/II cervical carcinoma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:-_dYPAW6P2MC,"Journal of Nuclear Medicine 62 (8), 1062-1067",2021
25,"T Küstner, J Pan, H Qi, G Cruz, C Gilliam, T Blu, B Yang, S Gatidis, ...",LAPNet: Non-rigid Registration derived in k-space for Magnetic Resonance Imaging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:epqYDVWIO7EC,"IEEE Transactions on Medical Imaging 40 (12), 3686-3697",2021
26,"CP Reinert, C Pfannenberg, S Gatidis, C la Fougère, K Nikolaou, ...",18F-Fluoride PET/CT Imaging of Medication-Related Osteonecrosis of the Jaw in Conservative Treatment—A Case Report,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:EkHepimYqZsC,"Frontiers in Oncology 11, 2494",2021
27,"A Liebgott, C Lorenz, S Gatidis, VC Vu, K Nikolaou, B Yang",Automated Multi-Organ Segmentation in Pet Images Using Cascaded Training of a 3d U-Net and Convolutional Autoencoder,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:ipzZ9siozwsC,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and …",2021
28,"K Armanious, S Abdulatif, W Shi, T Hepp, S Gatidis, B Yang",Uncertainty-Based Biological Age Estimation of Brain MRI Scans,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:t7zJ5fGR-2UC,"ICASSP 2021-2021 IEEE International Conference on Acoustics, Speech and …",2021
29,"P Bonomo, M Lo Russo, M Nachbar, S Boeke, S Gatidis, D Zips, ...",1.5 T MR-linac Planning Study comparing two different Rectum-Boost Strategies in Patients with locally advanced Rectal Cancer,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:vDijr-p_gm4C,"STRAHLENTHERAPIE UND ONKOLOGIE 197 (SUPPL 1), S151-S152",2021
30,"T Kart, M Fischer, T Küstner, T Hepp, F Bamberg, S Winzeck, B Glocker, ...",Deep Learning‐Based Automated Abdominal Organ Segmentation in the UK Biobank and German National Cohort Magnetic Resonance Imaging Studies,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:evX43VCCuoAC,"Investigative Radiology 56 (6), 401-408",2021
31,"LS Kiefer, J Sekler, B Gückel, MS Kraus, C la Fougère, K Nikolaou, ...",Impact of 18F-FDG-PET/CT on Clinical Management in Patients with Cholangiocellular Carcinoma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:yB1At4FlUx8C,"BJR| Open 3, 20210008",2021
32,"WM Thaiss, S Gatidis, T Sartorius, J Machann, A Peter, TK Eigentler, ...","Noninvasive, longitudinal imaging-based analysis of body adipose tissue and water composition in a melanoma mouse model and in immune checkpoint inhibitor-treated metastatic …",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:kzcrU_BdoSEC,"Cancer Immunology, Immunotherapy 70 (5), 1263-1275",2021
33,"S Männlin, S Gassenmaier, R Grimm, A Schmidt, J Fuchs, M Scheer, ...","Multimodale, Voxel-basierte Analyse des frühen Ansprechens auf Chemotherapie beim kindlichen Rhabdomyosarkom",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:uc_IGeMz5qoC,RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden …,2021
34,"R Schwarz, M Kraus, P Utz, U Graepler-Mainka, H Dittmann, S Gatidis, ...",FDG PET/MRT zur Detektion von inflammatorischen pulmonalen Veränderungen bei Kindern mit zystischer Fibrose,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:0KyAp5RtaNEC,RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden …,2021
35,"M Weissinger, M Atmanspacher, H Dittmann, S Gatidis, L Zender, ...",Dynamische Ganzkörper 18F-FDG-PET/CT bei Patienten mit unklaren Lungenrundherden,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:9Nmd_mFXekcC,"Nuklearmedizin-NuclearMedicine 60 (02), P28",2021
36,"K Armanious, S Abdulatif, W Shi, S Salian, T Küstner, D Weiskopf, T Hepp, ...",Age-net: An MRI-based iterative framework for brain biological age estimation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:JQOojiI6XY0C,"IEEE Transactions on Medical Imaging 40 (7), 1778-1791",2021
37,"D Overhoff, P Kohlmann, A Frydrychowicz, S Gatidis, C Loewe, J Moltz, ...","The International Radiomics Platform-An Initiative of the German and Austrian Radiological Societies (vol 193, pg 276, 2021)",https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:hMsQuOkrut0C,ROFO-FORTSCHRITTE AUF DEM GEBIET DER RONTGENSTRAHLEN UND DER BILDGEBENDEN …,2021
38,"D Overhoff, P Kohlmann, A Frydrychowicz, S Gatidis, C Loewe, J Moltz, ...",Die Internationale Radiomics-Plattform–eine Initiative der Deutschen und Österreichischen Röntgengesellschaften–Erste Anwendungsbeispiele,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:nrtMV_XWKgEC,RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden …,2021
39,"A Forschner, T Sinnberg, G Mroz, C Schroeder, CP Reinert, S Gatidis, ...",Case report: combined CDK4/6 and MEK inhibition in refractory CDKN2A and NRAS mutant melanoma,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:fEOibwPWpKIC,"Frontiers in oncology 11, 643156",2021
40,"CP Reinert, J Sekler, C Gani, K Nikolaou, C la Fougère, C Pfannenberg, ...",Impact of PET/CT on management of patients with esophageal cancer–results from a PET/CT registry study,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:2KloaMYe4IUC,"European Journal of Radiology 136, 109524",2021
41,"D Overhoff, P Kohlmann, A Frydrychowicz, S Gatidis, C Loewe, J Moltz, ...",The International Radiomics Platform–An Initiative of the German and Austrian Radiological Societies–First Application Examples,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:NJ774b8OgUMC,RöFo-Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden …,2021
42,"A Liebgott, S Gatidis, VC Vu, T Haueise, K Nikolaou, B Yang",Feature-based Response Prediction to Immunotherapy of late-stage Melanoma Patients Using PET/MR Imaging,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:W5xh706n7nkC,"2020 28th European Signal Processing Conference (EUSIPCO), 1229-1233",2021
43,"K Armanious, S Abdulatif, AR Bhaktharaguttu, T Küstner, T Hepp, ...",Organ-based chronological age estimation based on 3D MRI scans,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:uLbwQdceFCQC,"2020 28th European Signal Processing Conference (EUSIPCO), 1225-1228",2021
44,"M Esser, I Tsiflikas, MS Kraus, S Hess, S Gatidis, JF Schaefer",Effectiveness of Chest CT in Children: CT Findings in Relation to the Clinical Question Wertigkeit der Thorax-CT bei Kindern: Befunde in Abhängigkeit der klinischen Fragestellung,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:hCrLmN-GePgC,,2021
45,"P Bonomo, ML Russo, M Nachbar, S Boeke, S Gatidis, D Zips, ...",1.5 T MR-linac planning study to compare two different strategies of rectal boost irradiation,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=7vCEi-gAAAAJ&pagesize=100&sortby=pubdate&citation_for_view=7vCEi-gAAAAJ:tKAzc9rXhukC,"Clinical and translational radiation oncology 26, 86-91",2021
